hour,dispatch_date,lat,lng,crime
9.0,2024-01-02,39.95116738,-75.24327903,Robbery No Firearm
6.0,2024-02-29,40.04083662,-75.22368801,Thefts
16.0,2024-06-29,40.03134716,-75.16747661,Thefts
19.0,2024-03-28,40.03731301,-75.04047182,Thefts
18.0,2024-07-28,40.03738515,-75.1736483,Aggravated Assault No Firearm
17.0,2024-01-02,40.02949565,-75.12688898,Rape
18.0,2024-06-30,40.04292601,-75.07986293,Thefts
3.0,2024-03-29,40.03691795,-75.17448183,Aggravated Assault Firearm
23.0,2024-03-30,39.97226816,-75.22630972,Aggravated Assault No Firearm
20.0,2024-07-30,40.01457078,-75.08478206,Robbery No Firearm
14.0,2024-02-11,39.95197599,-75.15605032,Thefts
11.0,2024-02-15,39.95197599,-75.15605032,Thefts
12.0,2024-05-07,40.09985366,-75.00574075,Burglary Non-Residential
18.0,2024-08-20,39.99456354,-75.17360856,Theft from Vehicle
13.0,2024-06-26,39.99878216,-75.20869063,Aggravated Assault No Firearm
9.0,2024-01-06,,,Thefts
21.0,2024-01-11,40.04943566,-75.06038434,Thefts
9.0,2024-06-03,39.98366268,-75.10063502,Thefts
23.0,2024-07-19,,,Theft from Vehicle
12.0,2024-01-17,40.04943566,-75.06038434,Thefts
6.0,2024-07-10,,,Theft from Vehicle
0.0,2024-08-20,,,Thefts
0.0,2024-07-29,,,Thefts
15.0,2024-05-17,40.0367448,-75.06979198,Thefts
2.0,2024-07-29,39.95709215,-75.14014828,Theft from Vehicle
12.0,2024-01-05,40.02473838,-75.11487814,Thefts
13.0,2024-01-09,39.98088793,-75.17321759,Robbery Firearm
23.0,2024-05-12,39.94692408,-75.16676092,Thefts
8.0,2024-05-14,40.0367448,-75.06979198,Thefts
1.0,2024-07-03,39.98911561,-75.1271528,Robbery No Firearm
0.0,2024-01-18,39.95548328,-75.22661597,Thefts
19.0,2024-02-17,39.96701005,-75.16968373,Thefts
21.0,2024-02-17,39.96701005,-75.16968373,Thefts
21.0,2024-07-29,39.97724957,-75.11844842,Thefts
13.0,2024-01-21,39.94199654,-75.15090389,Thefts
15.0,2024-01-16,39.94014247,-75.15171838,Thefts
20.0,2024-01-20,39.94014247,-75.15171838,Thefts
13.0,2024-01-24,39.94014247,-75.15171838,Thefts
17.0,2024-01-10,40.00368897,-75.16617719,Aggravated Assault No Firearm
8.0,2024-01-10,39.97879083,-75.13056926,Burglary Non-Residential
9.0,2024-08-04,39.94693215,-75.16676269,Thefts
12.0,2024-08-04,39.94693215,-75.16676269,Thefts
8.0,2024-01-07,39.97024201,-75.15586833,Robbery No Firearm
13.0,2024-02-13,40.00368897,-75.16617719,Thefts
3.0,2024-08-07,40.02259382,-75.07830646,Thefts
11.0,2024-03-22,39.91601279,-75.17356125,Thefts
15.0,2024-07-01,39.91313854,-75.15559822,Thefts
19.0,2024-01-01,,,Aggravated Assault No Firearm
8.0,2024-02-17,39.92573057,-75.23680869,Theft from Vehicle
13.0,2024-05-13,39.95209582,-75.16150248,Thefts
17.0,2024-05-15,39.95209582,-75.16150248,Thefts
15.0,2024-03-21,39.97303519,-75.21394555,Thefts
17.0,2024-01-13,40.08275169,-74.96802969,Theft from Vehicle
13.0,2024-03-19,39.97868367,-75.22409192,Thefts
12.0,2024-02-03,40.03205764,-75.11763332,Thefts
15.0,2024-02-03,40.03205764,-75.11763332,Thefts
23.0,2024-04-05,39.98392144,-75.1509106,Aggravated Assault No Firearm
19.0,2024-07-17,40.03675288,-75.06979373,Thefts
18.0,2024-02-10,40.03229139,-75.01988128,Aggravated Assault No Firearm
23.0,2024-04-09,40.02356345,-75.08718384,Robbery No Firearm
15.0,2024-07-30,40.07580613,-75.03314534,Thefts
8.0,2024-02-12,40.05977826,-75.23663906,Theft from Vehicle
17.0,2024-03-26,40.0036809,-75.16617542,Thefts
15.0,2024-01-10,39.92979588,-75.22831925,Thefts
11.0,2024-05-24,40.03042643,-75.17572602,Thefts
3.0,2024-06-23,39.91773491,-75.23598742,Robbery No Firearm
20.0,2024-07-09,39.99266901,-75.1531559,Thefts
22.0,2024-01-05,39.92326009,-75.23842154,Thefts
8.0,2024-07-16,40.00541707,-75.09825966,Thefts
12.0,2024-07-09,40.00541707,-75.09825966,Thefts
11.0,2024-02-12,40.04177466,-75.02604289,Thefts
17.0,2024-05-13,39.97767751,-75.22203135,Thefts
10.0,2024-02-03,39.97374234,-75.21035878,Aggravated Assault No Firearm
2.0,2024-08-17,40.01123743,-75.09961131,Aggravated Assault No Firearm
19.0,2024-08-05,40.01717111,-75.06296556,Theft from Vehicle
11.0,2024-01-01,40.03007751,-75.05602515,Thefts
2.0,2024-03-19,40.03156847,-75.16732004,Burglary Residential
2.0,2024-02-08,39.92166378,-75.17850367,Theft from Vehicle
19.0,2024-03-01,39.96008806,-75.23448875,Thefts
